year,agrland,forestarea,electricityconsum,co2emission,poptot,urbanpop
1960,NA,NA,NA,5.54E-01,1.11E+07,3.05E+01
1961,1.91E+01,NA,NA,5.32E-01,1.14E+07,3.18E+01
1962,1.89E+01,NA,NA,4.85E-01,1.17E+07,3.32E+01
1963,1.87E+01,NA,NA,4.53E-01,1.20E+07,3.47E+01
1964,1.85E+01,NA,NA,4.60E-01,1.23E+07,3.61E+01
1965,1.85E+01,NA,NA,5.22E-01,1.26E+07,3.76E+01
1966,1.85E+01,NA,NA,6.49E-01,1.30E+07,3.88E+01
1967,1.86E+01,NA,NA,6.32E-01,1.34E+07,3.90E+01
1968,1.86E+01,NA,NA,6.59E-01,1.37E+07,3.92E+01
1969,1.86E+01,NA,NA,7.97E-01,1.41E+07,3.93E+01
1970,1.86E+01,NA,NA,1.04E+00,1.46E+07,3.95E+01
1971,1.91E+01,NA,1.33E+02,1.25E+00,1.50E+07,3.97E+01
1972,1.91E+01,NA,1.42E+02,1.84E+00,1.54E+07,3.98E+01
1973,1.86E+01,NA,1.58E+02,2.42E+00,1.58E+07,4.00E+01
1974,1.86E+01,NA,1.70E+02,1.96E+00,1.62E+07,4.02E+01
1975,1.84E+01,NA,1.95E+02,1.92E+00,1.67E+07,4.03E+01
1976,1.85E+01,NA,2.19E+02,2.28E+00,1.72E+07,4.05E+01
1977,1.84E+01,NA,2.32E+02,2.37E+00,1.77E+07,4.09E+01
1978,1.84E+01,NA,2.77E+02,3.43E+00,1.82E+07,4.18E+01
1979,1.84E+01,NA,3.13E+02,2.43E+00,1.88E+07,4.27E+01
1980,1.84E+01,NA,3.28E+02,3.44E+00,1.93E+07,4.35E+01
1981,1.64E+01,NA,3.61E+02,2.33E+00,1.99E+07,4.44E+01
1982,1.64E+01,NA,4.04E+02,1.91E+00,2.06E+07,4.53E+01
1983,1.65E+01,NA,4.15E+02,2.48E+00,2.12E+07,4.62E+01
1984,1.66E+01,NA,4.39E+02,3.25E+00,2.19E+07,4.71E+01
1985,1.64E+01,NA,4.64E+02,3.23E+00,2.26E+07,4.80E+01
1986,1.62E+01,NA,4.82E+02,3.28E+00,2.32E+07,4.89E+01
1987,1.63E+01,NA,4.53E+02,3.52E+00,2.39E+07,4.97E+01
1988,1.63E+01,NA,4.79E+02,3.41E+00,2.46E+07,5.05E+01
1989,1.63E+01,NA,5.19E+02,3.17E+00,2.53E+07,5.13E+01
1990,1.62E+01,7.00E-01,5.28E+02,3.05E+00,2.59E+07,5.21E+01
1991,1.62E+01,6.96E-01,5.29E+02,3.06E+00,2.66E+07,5.29E+01
1992,1.63E+01,6.93E-01,5.57E+02,3.01E+00,2.72E+07,5.37E+01
1993,1.63E+01,6.89E-01,5.45E+02,2.96E+00,2.78E+07,5.44E+01
1994,1.66E+01,6.85E-01,5.48E+02,3.05E+00,2.84E+07,5.52E+01
1995,1.66E+01,6.81E-01,5.57E+02,3.30E+00,2.89E+07,5.60E+01
1996,1.66E+01,6.78E-01,5.68E+02,3.30E+00,2.94E+07,5.68E+01
1997,1.67E+01,6.74E-01,5.73E+02,2.95E+00,2.99E+07,5.75E+01
1998,1.67E+01,6.70E-01,6.16E+02,3.53E+00,3.03E+07,5.83E+01
1999,1.67E+01,6.67E-01,6.50E+02,2.99E+00,3.08E+07,5.91E+01
2000,1.68E+01,6.63E-01,6.80E+02,2.82E+00,3.12E+07,5.99E+01
2001,1.68E+01,6.59E-01,7.06E+02,2.67E+00,3.16E+07,6.07E+01
2002,1.67E+01,6.56E-01,7.28E+02,2.84E+00,3.20E+07,6.15E+01
2003,1.68E+01,6.52E-01,7.83E+02,2.86E+00,3.24E+07,6.23E+01
2004,1.73E+01,6.49E-01,8.01E+02,2.73E+00,3.28E+07,6.31E+01
2005,1.73E+01,6.45E-01,8.87E+02,3.22E+00,3.33E+07,6.38E+01
2006,1.73E+01,6.77E-01,8.60E+02,2.99E+00,3.37E+07,6.46E+01
2007,1.73E+01,7.09E-01,8.92E+02,3.19E+00,3.43E+07,6.53E+01
2008,1.73E+01,7.41E-01,9.45E+02,3.21E+00,3.48E+07,6.61E+01
2009,1.74E+01,7.73E-01,8.65E+02,3.43E+00,3.54E+07,6.68E+01
2010,1.74E+01,8.05E-01,1.01E+03,3.31E+00,3.60E+07,6.75E+01
2011,1.74E+01,8.08E-01,1.12E+03,3.32E+00,3.67E+07,6.82E+01
2012,1.74E+01,8.12E-01,1.24E+03,NA,3.74E+07,6.89E+01
2013,1.74E+01,8.15E-01,1.28E+03,NA,3.82E+07,6.95E+01
2014,NA,8.18E-01,NA,NA,3.89E+07,7.01E+01
2015,NA,8.21E-01,NA,NA,3.97E+07,7.07E+01
