Indicator.Name,Agricultural land (% of land area),Forest area (% of land area),Electric power consumption (kWh per capita),CO2 emissions (metric tons per capita),"Population, total",Urban population (% of total)
1960,NA,NA,NA,2.37E+00,2.06E+07,7.36E+01
1961,5.04E+01,NA,NA,2.44E+00,2.10E+07,7.42E+01
1962,4.99E+01,NA,NA,2.52E+00,2.13E+07,7.48E+01
1963,4.93E+01,NA,NA,2.32E+00,2.16E+07,7.53E+01
1964,4.87E+01,NA,NA,2.54E+00,2.20E+07,7.58E+01
1965,4.82E+01,NA,NA,2.64E+00,2.23E+07,7.64E+01
1966,4.78E+01,NA,NA,2.79E+00,2.26E+07,7.69E+01
1967,4.74E+01,NA,NA,2.86E+00,2.29E+07,7.74E+01
1968,4.72E+01,NA,NA,2.97E+00,2.33E+07,7.79E+01
1969,4.72E+01,NA,NA,3.28E+00,2.36E+07,7.84E+01
1970,4.72E+01,NA,NA,3.45E+00,2.40E+07,7.89E+01
1971,4.72E+01,NA,8.71E+02,3.65E+00,2.44E+07,7.93E+01
1972,4.71E+01,NA,9.20E+02,3.64E+00,2.48E+07,7.97E+01
1973,4.71E+01,NA,9.56E+02,3.73E+00,2.52E+07,8.02E+01
1974,4.71E+01,NA,9.86E+02,3.73E+00,2.56E+07,8.06E+01
1975,4.70E+01,NA,1.00E+03,3.64E+00,2.61E+07,8.10E+01
1976,4.70E+01,NA,1.02E+03,3.77E+00,2.65E+07,8.14E+01
1977,4.69E+01,NA,1.07E+03,3.75E+00,2.69E+07,8.18E+01
1978,4.69E+01,NA,1.08E+03,3.76E+00,2.73E+07,8.21E+01
1979,4.68E+01,NA,1.21E+03,4.00E+00,2.77E+07,8.25E+01
1980,4.68E+01,NA,1.23E+03,3.87E+00,2.81E+07,8.29E+01
1981,4.67E+01,NA,1.19E+03,3.57E+00,2.85E+07,8.33E+01
1982,4.71E+01,NA,1.20E+03,3.57E+00,2.90E+07,8.38E+01
1983,4.70E+01,NA,1.25E+03,3.57E+00,2.95E+07,8.42E+01
1984,4.70E+01,NA,1.29E+03,3.56E+00,2.99E+07,8.46E+01
1985,4.69E+01,NA,1.28E+03,3.31E+00,3.04E+07,8.50E+01
1986,4.69E+01,NA,1.32E+03,3.38E+00,3.09E+07,8.54E+01
1987,4.67E+01,NA,1.41E+03,3.67E+00,3.13E+07,8.58E+01
1988,4.65E+01,NA,1.45E+03,3.82E+00,3.18E+07,8.62E+01
1989,4.66E+01,NA,1.32E+03,3.63E+00,3.23E+07,8.66E+01
1990,4.66E+01,1.27E+01,1.30E+03,3.44E+00,3.27E+07,8.70E+01
1991,4.66E+01,1.26E+01,1.34E+03,3.53E+00,3.32E+07,8.73E+01
1992,4.67E+01,1.25E+01,1.41E+03,3.61E+00,3.37E+07,8.75E+01
1993,4.67E+01,1.24E+01,1.49E+03,3.48E+00,3.41E+07,8.78E+01
1994,4.68E+01,1.23E+01,1.56E+03,3.57E+00,3.46E+07,8.80E+01
1995,4.68E+01,1.22E+01,1.64E+03,3.50E+00,3.50E+07,8.82E+01
1996,4.68E+01,1.21E+01,1.72E+03,3.65E+00,3.54E+07,8.84E+01
1997,4.69E+01,1.20E+01,1.84E+03,3.76E+00,3.58E+07,8.86E+01
1998,4.69E+01,1.19E+01,1.96E+03,3.80E+00,3.62E+07,8.88E+01
1999,4.69E+01,1.17E+01,2.02E+03,3.97E+00,3.66E+07,8.90E+01
2000,4.70E+01,1.16E+01,2.08E+03,3.81E+00,3.71E+07,8.91E+01
2001,4.70E+01,1.15E+01,2.11E+03,3.54E+00,3.75E+07,8.93E+01
2002,4.70E+01,1.14E+01,2.00E+03,3.25E+00,3.79E+07,8.95E+01
2003,4.78E+01,1.13E+01,2.17E+03,3.48E+00,3.83E+07,8.97E+01
2004,4.91E+01,1.12E+01,2.28E+03,4.03E+00,3.87E+07,8.99E+01
2005,5.04E+01,1.10E+01,2.39E+03,4.11E+00,3.91E+07,9.01E+01
2006,5.16E+01,1.09E+01,2.36E+03,4.40E+00,3.96E+07,9.03E+01
2007,5.26E+01,1.08E+01,2.44E+03,4.50E+00,4.00E+07,9.04E+01
2008,5.27E+01,1.07E+01,2.75E+03,4.74E+00,4.04E+07,9.06E+01
2009,5.25E+01,1.06E+01,2.71E+03,4.43E+00,4.08E+07,9.08E+01
2010,5.39E+01,1.04E+01,2.85E+03,4.34E+00,4.12E+07,9.10E+01
2011,5.42E+01,1.03E+01,2.90E+03,4.56E+00,4.17E+07,9.11E+01
2012,5.45E+01,1.02E+01,2.95E+03,NA,4.21E+07,9.13E+01
2013,5.45E+01,1.01E+01,3.09E+03,NA,4.25E+07,9.15E+01
2014,NA,1.00E+01,NA,NA,4.30E+07,9.16E+01
2015,NA,9.91E+00,NA,NA,4.34E+07,9.18E+01
