Indicator.Name,Agricultural land (% of land area),Forest area (% of land area),Electric power consumption (kWh per capita),CO2 emissions (metric tons per capita),"Population, total",Urban population (% of total)
1960,NA,NA,NA,6.47E-01,7.25E+07,4.61E+01
1961,1.80E+01,NA,NA,6.59E-01,7.47E+07,4.71E+01
1962,1.87E+01,NA,NA,6.97E-01,7.70E+07,4.81E+01
1963,1.93E+01,NA,NA,7.01E-01,7.94E+07,4.91E+01
1964,1.99E+01,NA,NA,6.94E-01,8.18E+07,5.01E+01
1965,2.04E+01,NA,NA,6.70E-01,8.41E+07,5.10E+01
1966,2.09E+01,NA,NA,7.43E-01,8.65E+07,5.20E+01
1967,2.15E+01,NA,NA,7.45E-01,8.89E+07,5.30E+01
1968,2.22E+01,NA,NA,8.49E-01,9.12E+07,5.40E+01
1969,2.32E+01,NA,NA,9.01E-01,9.36E+07,5.49E+01
1970,2.34E+01,NA,NA,9.77E-01,9.60E+07,5.59E+01
1971,2.39E+01,NA,4.56E+02,1.04E+00,9.84E+07,5.69E+01
1972,2.43E+01,NA,4.94E+02,1.13E+00,1.01E+08,5.79E+01
1973,2.46E+01,NA,5.49E+02,1.28E+00,1.03E+08,5.89E+01
1974,2.51E+01,NA,5.98E+02,1.36E+00,1.06E+08,5.98E+01
1975,2.55E+01,NA,6.44E+02,1.39E+00,1.08E+08,6.08E+01
1976,2.58E+01,NA,7.14E+02,1.40E+00,1.11E+08,6.17E+01
1977,2.61E+01,NA,7.81E+02,1.43E+00,1.14E+08,6.27E+01
1978,2.63E+01,NA,8.50E+02,1.52E+00,1.17E+08,6.36E+01
1979,2.66E+01,NA,9.30E+02,1.58E+00,1.19E+08,6.46E+01
1980,2.68E+01,NA,1.00E+03,1.53E+00,1.22E+08,6.55E+01
1981,2.70E+01,NA,1.01E+03,1.37E+00,1.25E+08,6.64E+01
1982,2.73E+01,NA,1.04E+03,1.34E+00,1.28E+08,6.73E+01
1983,2.74E+01,NA,1.10E+03,1.27E+00,1.31E+08,6.81E+01
1984,2.75E+01,NA,1.19E+03,1.26E+00,1.34E+08,6.90E+01
1985,2.76E+01,NA,1.27E+03,1.32E+00,1.37E+08,6.99E+01
1986,2.80E+01,NA,1.34E+03,1.42E+00,1.40E+08,7.07E+01
1987,2.82E+01,NA,1.35E+03,1.46E+00,1.42E+08,7.15E+01
1988,2.84E+01,NA,1.40E+03,1.44E+00,1.45E+08,7.23E+01
1989,2.86E+01,NA,1.44E+03,1.45E+00,1.48E+08,7.31E+01
1990,2.89E+01,6.54E+01,1.45E+03,1.39E+00,1.50E+08,7.39E+01
1991,2.93E+01,6.51E+01,1.47E+03,1.43E+00,1.53E+08,7.47E+01
1992,2.95E+01,6.48E+01,1.48E+03,1.42E+00,1.55E+08,7.54E+01
1993,2.98E+01,6.45E+01,1.53E+03,1.46E+00,1.58E+08,7.62E+01
1994,3.01E+01,6.42E+01,1.56E+03,1.51E+00,1.60E+08,7.69E+01
1995,3.09E+01,6.39E+01,1.63E+03,1.59E+00,1.63E+08,7.76E+01
1996,3.10E+01,6.36E+01,1.68E+03,1.72E+00,1.65E+08,7.83E+01
1997,3.11E+01,6.33E+01,1.76E+03,1.79E+00,1.68E+08,7.90E+01
1998,3.11E+01,6.30E+01,1.80E+03,1.83E+00,1.71E+08,7.98E+01
1999,3.12E+01,6.27E+01,1.82E+03,1.85E+00,1.73E+08,8.05E+01
2000,3.13E+01,6.24E+01,1.89E+03,1.87E+00,1.76E+08,8.12E+01
2001,3.15E+01,6.20E+01,1.74E+03,1.89E+00,1.78E+08,8.16E+01
2002,3.18E+01,6.17E+01,1.79E+03,1.84E+00,1.81E+08,8.19E+01
2003,3.21E+01,6.13E+01,1.86E+03,1.75E+00,1.84E+08,8.22E+01
2004,3.26E+01,6.10E+01,1.93E+03,1.82E+00,1.86E+08,8.25E+01
2005,3.26E+01,6.06E+01,1.99E+03,1.84E+00,1.88E+08,8.28E+01
2006,3.26E+01,6.04E+01,2.04E+03,1.82E+00,1.91E+08,8.31E+01
2007,3.25E+01,6.02E+01,2.14E+03,1.88E+00,1.93E+08,8.34E+01
2008,3.27E+01,6.00E+01,2.20E+03,1.99E+00,1.95E+08,8.37E+01
2009,3.27E+01,5.98E+01,2.17E+03,1.87E+00,1.97E+08,8.40E+01
2010,3.27E+01,5.96E+01,2.34E+03,2.11E+00,1.99E+08,8.43E+01
2011,3.29E+01,5.95E+01,2.39E+03,2.19E+00,2.01E+08,8.46E+01
2012,3.30E+01,5.94E+01,2.46E+03,NA,2.02E+08,8.49E+01
2013,3.34E+01,5.93E+01,2.53E+03,NA,2.04E+08,8.52E+01
2014,NA,5.92E+01,NA,NA,2.06E+08,8.54E+01
2015,NA,5.90E+01,NA,NA,2.08E+08,8.57E+01
