year,agrland,forestarea,electricityconsum,co2emmision,poptot,urbanpop
1960,NA,NA,5.63E+03,1.08E+01,1.79E+07,6.91E+01
1961,7.68E+00,NA,5.61E+03,1.06E+01,1.83E+07,6.97E+01
1962,7.69E+00,NA,5.79E+03,1.11E+01,1.86E+07,7.05E+01
1963,7.71E+00,NA,5.97E+03,1.11E+01,1.90E+07,7.13E+01
1964,7.72E+00,NA,6.47E+03,1.23E+01,1.93E+07,7.21E+01
1965,7.73E+00,NA,6.91E+03,1.28E+01,1.97E+07,7.29E+01
1966,7.75E+00,NA,7.36E+03,1.29E+01,2.00E+07,7.36E+01
1967,7.71E+00,NA,7.63E+03,1.38E+01,2.04E+07,7.42E+01
1968,7.67E+00,NA,8.03E+03,1.46E+01,2.07E+07,7.47E+01
1969,7.63E+00,NA,8.53E+03,1.46E+01,2.10E+07,7.52E+01
1970,7.59E+00,NA,8.96E+03,1.60E+01,2.13E+07,7.57E+01
1971,7.55E+00,NA,9.30E+03,1.63E+01,2.16E+07,7.61E+01
1972,7.55E+00,NA,9.90E+03,1.73E+01,2.20E+07,7.60E+01
1973,7.54E+00,NA,1.03E+04,1.71E+01,2.24E+07,7.59E+01
1974,7.53E+00,NA,1.08E+04,1.71E+01,2.28E+07,7.57E+01
1975,7.53E+00,NA,1.04E+04,1.71E+01,2.32E+07,7.56E+01
1976,7.52E+00,NA,1.10E+04,1.70E+01,2.35E+07,7.55E+01
1977,7.47E+00,NA,1.18E+04,1.72E+01,2.38E+07,7.55E+01
1978,7.41E+00,NA,1.22E+04,1.73E+01,2.40E+07,7.56E+01
1979,7.36E+00,NA,1.24E+04,1.82E+01,2.43E+07,7.56E+01
1980,7.30E+00,NA,1.28E+04,1.80E+01,2.46E+07,7.57E+01
1981,7.25E+00,NA,1.32E+04,1.73E+01,2.49E+07,7.57E+01
1982,7.29E+00,NA,1.29E+04,1.65E+01,2.52E+07,7.59E+01
1983,7.33E+00,NA,1.34E+04,1.61E+01,2.55E+07,7.60E+01
1984,7.37E+00,NA,1.43E+04,1.66E+01,2.57E+07,7.62E+01
1985,7.42E+00,NA,1.48E+04,1.63E+01,2.59E+07,7.64E+01
1986,7.46E+00,NA,1.53E+04,1.55E+01,2.62E+07,7.65E+01
1987,7.46E+00,NA,1.57E+04,1.62E+01,2.66E+07,7.65E+01
1988,7.46E+00,NA,1.63E+04,1.70E+01,2.69E+07,7.65E+01
1989,7.45E+00,NA,1.64E+04,1.69E+01,2.74E+07,7.66E+01
1990,7.45E+00,3.83E+01,1.61E+04,1.57E+01,2.78E+07,7.66E+01
1991,7.45E+00,3.83E+01,1.61E+04,1.51E+01,2.82E+07,7.66E+01
1992,7.46E+00,3.83E+01,1.61E+04,1.54E+01,2.85E+07,7.69E+01
1993,7.46E+00,3.83E+01,1.62E+04,1.55E+01,2.88E+07,7.72E+01
1994,7.47E+00,3.83E+01,1.63E+04,1.57E+01,2.91E+07,7.74E+01
1995,7.48E+00,3.83E+01,1.65E+04,1.59E+01,2.94E+07,7.77E+01
1996,7.48E+00,3.83E+01,1.66E+04,1.62E+01,2.97E+07,7.80E+01
1997,7.47E+00,3.83E+01,1.66E+04,1.65E+01,3.00E+07,7.83E+01
1998,7.46E+00,3.83E+01,1.64E+04,1.67E+01,3.02E+07,7.87E+01
1999,7.45E+00,3.83E+01,1.66E+04,1.69E+01,3.05E+07,7.91E+01
2000,7.44E+00,3.82E+01,1.70E+04,1.74E+01,3.08E+07,7.95E+01
2001,7.42E+00,3.82E+01,1.68E+04,1.70E+01,3.11E+07,7.98E+01
2002,7.42E+00,3.82E+01,1.70E+04,1.66E+01,3.14E+07,7.99E+01
2003,7.43E+00,3.82E+01,1.72E+04,1.75E+01,3.17E+07,8.00E+01
2004,7.43E+00,3.82E+01,1.72E+04,1.73E+01,3.20E+07,8.00E+01
2005,7.43E+00,3.82E+01,1.70E+04,1.74E+01,3.23E+07,8.01E+01
2006,7.25E+00,3.82E+01,1.66E+04,1.69E+01,3.26E+07,8.02E+01
2007,7.18E+00,3.82E+01,1.68E+04,1.71E+01,3.29E+07,8.04E+01
2008,7.11E+00,3.82E+01,1.65E+04,1.64E+01,3.32E+07,8.06E+01
2009,7.03E+00,3.82E+01,1.55E+04,1.51E+01,3.36E+07,8.08E+01
2010,6.96E+00,3.82E+01,1.53E+04,1.46E+01,3.40E+07,8.09E+01
2011,6.88E+00,3.82E+01,1.57E+04,1.41E+01,3.43E+07,8.11E+01
2012,7.19E+00,3.82E+01,1.53E+04,NA,3.48E+07,8.13E+01
2013,7.18E+00,3.82E+01,1.55E+04,NA,3.52E+07,8.15E+01
2014,NA,3.82E+01,NA,NA,3.55E+07,8.17E+01
2015,NA,3.82E+01,NA,NA,3.59E+07,8.18E+01
