year,agrland,forestarea,electricityconsum,co2emission,poptot,urbanpop
1960,NA,NA,NA,0.268,4.50E+08,17.9
1961,58.8,NA,NA,0.284,4.59E+08,18
1962,59.4,NA,NA,0.307,4.68E+08,18.2
1963,59.2,NA,NA,0.323,4.78E+08,18.4
1964,59.4,NA,NA,0.309,4.88E+08,18.6
1965,59.6,NA,NA,0.333,4.98E+08,18.8
1966,59.7,NA,NA,0.338,5.08E+08,19
1967,59.8,NA,NA,0.332,5.19E+08,19.2
1968,60,NA,NA,0.353,5.30E+08,19.4
1969,59.8,NA,NA,0.352,5.42E+08,19.6
1970,59.9,NA,NA,0.352,5.54E+08,19.8
1971,59.8,NA,98,0.363,5.67E+08,20
1972,59.9,NA,101,0.376,5.80E+08,20.3
1973,60.1,NA,101,0.378,5.93E+08,20.7
1974,60.3,NA,104,0.382,6.07E+08,21
1975,60.4,NA,115,0.406,6.22E+08,21.3
1976,60.4,NA,124,0.415,6.36E+08,21.7
1977,60.4,NA,127,0.485,6.51E+08,22
1978,60.7,NA,136,0.478,6.66E+08,22.4
1979,60.7,NA,136,0.487,6.81E+08,22.7
1980,60.6,NA,142,0.5,6.97E+08,23.1
1981,60.7,NA,152,0.525,7.14E+08,23.4
1982,60.8,NA,159,0.546,7.30E+08,23.6
1983,60.7,NA,166,0.578,7.47E+08,23.9
1984,61,NA,184,0.585,7.65E+08,24.1
1985,61,NA,194,0.627,7.82E+08,24.3
1986,60.9,NA,209,0.658,8.00E+08,24.6
1987,61.1,NA,221,0.687,8.17E+08,24.8
1988,60.9,NA,241,0.726,8.35E+08,25.1
1989,61,NA,258,0.777,8.53E+08,25.3
1990,61,21.5,273,0.793,8.71E+08,25.5
1991,61.1,21.6,292,0.83,8.89E+08,25.8
1992,61,21.6,305,0.864,9.06E+08,26
1993,61,21.7,322,0.881,9.24E+08,26.2
1994,61,21.7,342,0.918,9.43E+08,26.4
1995,60.9,21.7,360,0.958,9.61E+08,26.6
1996,60.7,21.8,361,1.02,9.79E+08,26.8
1997,60.9,21.8,377,1.05,9.98E+08,27
1998,60.8,21.9,387,1.05,1.02E+09,27.2
1999,60.9,21.9,393,1.11,1.03E+09,27.5
2000,60.9,22,395,1.13,1.05E+09,27.7
2001,60.7,22.1,395,1.12,1.07E+09,27.9
2002,60.7,22.3,412,1.13,1.09E+09,28.2
2003,60.6,22.5,432,1.16,1.11E+09,28.6
2004,60.7,22.6,453,1.2,1.13E+09,28.9
2005,60.6,22.8,469,1.23,1.14E+09,29.2
2006,60.5,22.9,511,1.29,1.16E+09,29.6
2007,60.4,23.1,543,1.37,1.18E+09,29.9
2008,60.5,23.2,563,1.5,1.20E+09,30.2
2009,60.6,23.3,602,1.62,1.21E+09,30.6
2010,60.4,23.5,644,1.58,1.23E+09,30.9
2011,60.4,23.5,698,1.66,1.25E+09,31.3
2012,60.4,23.6,724,NA,1.26E+09,31.6
2013,60.6,23.7,765,NA,1.28E+09,32
2014,NA,23.8,NA,NA,1.30E+09,32.4
2015,NA,23.77312,NA,NA,NA,NA
