year,agrland,forestarea,electricityconsum,co2emission,poptot,urbanpop
1960,NA,NA,NA,NA,8160975,26.598
1961,9.49,NA,NA,NA,8430000,27.2
1962,9.7,NA,NA,NA,8710000,27.9
1963,10.1,NA,NA,NA,9.00E+06,28.6
1964,10.2785,NA,NA,NA,9287442,29.232
1965,10.9,NA,NA,NA,9570000,29.9
1966,11,NA,NA,NA,9840000,30.6
1967,11.2,NA,NA,NA,10100000,31.3
1968,11.6,NA,NA,NA,10400000,32
1969,11.8,NA,NA,NA,10600000,32.7
1970,12,NA,NA,1.34,10900000,33.5
1971,12.3,NA,310,1.49,11200000,34.3
1972,12.6,NA,343,1.56,11500000,35.1
1973,12.8,NA,370,1.49,11700000,35.9
1974,13,NA,395,1.58,1.20E+07,36.8
1975,13.3,NA,425,1.58,12300000,37.7
1976,13.6,NA,462,1.9,12600000,38.5
1977,14,NA,527,1.75,12900000,39.4
1978,14.5,NA,558,1.76,13200000,40.3
1979,14.8,NA,616,2.02,13500000,41.2
1980,15.1,NA,657,2.02,13800000,42
1981,15.5,NA,687,2.17,14200000,42.8
1982,15.6,NA,725,2.1,14500000,43.6
1983,16,NA,763,2.54,14900000,44.3
1984,16,NA,809,2.26,15300000,45.1
1985,16.8,NA,834,2.3,15800000,45.9
1986,17.8,NA,874,2.46,16200000,46.7
1987,18.9,NA,914,2.44,16700000,47.5
1988,19.8,NA,987,2.48,17200000,48.2
1989,20.8,NA,1070,2.82,17700000,49
1990,20.8,68.1,1150,3.11,18200000,49.8
1991,20.9,67.9,1250,3.67,18700000,50.6
1992,21,67.6,1400,3.92,19200000,51.8
1993,21.2,67.4,1520,4.66,19700000,53.1
1994,21.5,67.1,1760,4.65,20200000,54.4
1995,21.5,66.9,1980,5.84,20700000,55.7
1996,21.5,66.7,2160,5.9,21300000,57
1997,21.5,66.4,2440,5.72,21800000,58.2
1998,21.4,66.2,2500,5.11,22400000,59.5
1999,21.4,66,2620,4.71,22900000,60.7
2000,21.4,65.7,2720,5.41,23400000,62
2001,21.3,65.3,2730,5.72,23900000,62.9
2002,21.3,64.9,2800,5.54,24400000,63.9
2003,21.6,64.4,2890,6.44,24900000,64.8
2004,21.6,64,2970,6.61,25300000,65.7
2005,21.7,63.6,2860,6.88,25800000,66.6
2006,21.6,64.3,3060,6.5,26300000,67.5
2007,22,65.1,3270,7.04,26700000,68.4
2008,21.9,65.8,3290,7.66,27200000,69.2
2009,22.2,66.6,3950,7.37,27700000,70.1
2010,22.7,67.3,4160,7.99,28100000,70.9
2011,23.2,67.4,4110,7.9,28600000,71.7
2012,23.5,67.4,4350,NA,2.90E+07,72.5
2013,23.9,67.5,4510,NA,29500000,73.3
2014,NA,67.6,NA,NA,29900000,74
2015,NA,67.55441,NA,NA,NA,NA
