year,agrland,forestarea,electricityconsum,co2emission,poptot,urbanpop
1960,NA,NA,NA,7.53E-02,4.52E+07,1.54E+01
1961,5.84E+01,NA,NA,8.92E-02,4.61E+07,1.56E+01
1962,5.92E+01,NA,NA,8.87E-02,4.71E+07,1.59E+01
1963,6.15E+01,NA,NA,1.11E-01,4.81E+07,1.61E+01
1964,6.26E+01,NA,NA,1.48E-01,4.92E+07,1.63E+01
1965,6.49E+01,NA,NA,2.34E-01,5.02E+07,1.66E+01
1966,6.20E+01,NA,NA,2.51E-01,5.13E+07,1.68E+01
1967,6.39E+01,NA,NA,2.45E-01,5.25E+07,1.70E+01
1968,6.39E+01,NA,NA,1.24E-01,5.36E+07,1.73E+01
1969,7.01E+01,NA,NA,2.21E-01,5.49E+07,1.75E+01
1970,6.70E+01,NA,NA,3.84E-01,5.61E+07,1.78E+01
1971,6.53E+01,NA,2.85E+01,5.62E-01,5.75E+07,1.82E+01
1972,6.06E+01,NA,3.26E+01,7.04E-01,5.88E+07,1.85E+01
1973,6.62E+01,NA,3.52E+01,8.22E-01,6.03E+07,1.90E+01
1974,6.17E+01,NA,3.28E+01,1.01E+00,6.19E+07,1.94E+01
1975,6.06E+01,NA,4.56E+01,7.46E-01,6.36E+07,1.98E+01
1976,6.06E+01,NA,5.14E+01,8.44E-01,6.54E+07,2.02E+01
1977,5.54E+01,NA,5.90E+01,7.50E-01,6.74E+07,2.06E+01
1978,5.38E+01,NA,6.05E+01,6.95E-01,6.95E+07,2.11E+01
1979,5.30E+01,NA,5.96E+01,9.81E-01,7.16E+07,2.15E+01
1980,5.54E+01,NA,6.78E+01,9.25E-01,7.37E+07,2.20E+01
1981,5.18E+01,NA,5.07E+01,8.71E-01,7.57E+07,2.27E+01
1982,5.31E+01,NA,8.16E+01,8.44E-01,7.77E+07,2.34E+01
1983,5.35E+01,NA,8.14E+01,7.52E-01,7.97E+07,2.41E+01
1984,5.78E+01,NA,6.18E+01,8.51E-01,8.18E+07,2.49E+01
1985,6.03E+01,NA,8.01E+01,8.33E-01,8.39E+07,2.56E+01
1986,6.59E+01,NA,9.05E+01,8.54E-01,8.61E+07,2.64E+01
1987,6.63E+01,NA,8.89E+01,6.71E-01,8.84E+07,2.72E+01
1988,6.67E+01,NA,8.68E+01,7.79E-01,9.08E+07,2.80E+01
1989,6.72E+01,NA,9.67E+01,4.55E-01,9.32E+07,2.88E+01
1990,6.76E+01,1.89E+01,8.67E+01,4.75E-01,9.56E+07,2.97E+01
1991,7.02E+01,1.85E+01,8.92E+01,4.61E-01,9.81E+07,3.02E+01
1992,7.08E+01,1.80E+01,8.97E+01,6.45E-01,1.01E+08,3.07E+01
1993,7.14E+01,1.76E+01,1.00E+02,5.82E-01,1.03E+08,3.12E+01
1994,7.27E+01,1.71E+01,9.51E+01,4.41E-01,1.06E+08,3.17E+01
1995,7.51E+01,1.67E+01,9.11E+01,3.22E-01,1.08E+08,3.22E+01
1996,7.53E+01,1.62E+01,8.55E+01,3.64E-01,1.11E+08,3.27E+01
1997,7.55E+01,1.58E+01,8.16E+01,3.53E-01,1.14E+08,3.32E+01
1998,7.65E+01,1.53E+01,7.66E+01,3.44E-01,1.17E+08,3.38E+01
1999,7.78E+01,1.49E+01,7.54E+01,3.74E-01,1.20E+08,3.43E+01
2000,7.83E+01,1.44E+01,7.41E+01,6.44E-01,1.23E+08,3.48E+01
2001,7.63E+01,1.40E+01,7.52E+01,6.61E-01,1.26E+08,3.57E+01
2002,7.75E+01,1.35E+01,1.04E+02,7.59E-01,1.29E+08,3.65E+01
2003,7.88E+01,1.31E+01,1.01E+02,7.02E-01,1.33E+08,3.74E+01
2004,7.88E+01,1.26E+01,1.23E+02,7.13E-01,1.36E+08,3.82E+01
2005,7.98E+01,1.22E+01,1.29E+02,7.50E-01,1.40E+08,3.91E+01
2006,8.05E+01,1.17E+01,1.11E+02,6.87E-01,1.43E+08,3.99E+01
2007,8.09E+01,1.13E+01,1.38E+02,6.47E-01,1.47E+08,4.08E+01
2008,7.98E+01,1.08E+01,1.27E+02,6.13E-01,1.51E+08,4.17E+01
2009,7.58E+01,1.04E+01,1.20E+02,4.63E-01,1.55E+08,4.26E+01
2010,7.69E+01,9.93E+00,1.36E+02,5.35E-01,1.59E+08,4.35E+01
2011,7.80E+01,9.48E+00,1.49E+02,5.37E-01,1.64E+08,4.44E+01
2012,7.91E+01,9.03E+00,1.56E+02,NA,1.68E+08,4.52E+01
2013,7.77E+01,8.58E+00,1.42E+02,NA,1.73E+08,4.61E+01
2014,NA,8.13E+00,NA,NA,1.77E+08,4.69E+01
2015,NA,7.68E+00,NA,NA,1.82E+08,4.78E+01
