Temperature (C),"	Year", Month, Country,,,
11.789019,1960,1,DZA,,,
16.44936,1960,2,DZA,,,
18.318657,1960,3,DZA,,,
20.772602,1960,4,DZA,,,
26.085821,1960,5,DZA,,,
30.491047,1960,6,DZA,,,
31.662151,1960,7,DZA,,,
32.384224,1960,8,DZA,,,
28.355331,1960,9,DZA,,,
23.911407,1960,10,DZA,,,
18.633156,1960,11,DZA,,,
11.977186,1960,12,DZA,,,
11.002878,1961,1,DZA,,,
14.898401,1961,2,DZA,,,
17.59275,1961,3,DZA,,,
23.103838,1961,4,DZA,,,
28.115458,1961,5,DZA,,,
30.204264,1961,6,DZA,,,
32.518867,1961,7,DZA,,,
30.549892,1961,8,DZA,,,
28.651066,1961,9,DZA,,,
23.34808,1961,10,DZA,,,
18.463966,1961,11,DZA,,,
13.854797,1961,12,DZA,,,
13.04467,1962,1,DZA,,,
12.885501,1962,2,DZA,,,
17.258528,1962,3,DZA,,,
21.771427,1962,4,DZA,,,
27.113327,1962,5,DZA,,,
29.922495,1962,6,DZA,,,
32.469723,1962,7,DZA,,,
31.792963,1962,8,DZA,,,
29.053305,1962,9,DZA,,,
23.862154,1962,10,DZA,,,
16.901386,1962,11,DZA,,,
12.167911,1962,12,DZA,,,
13.92953,1963,1,DZA,,,
15.386568,1963,2,DZA,,,
17.41727,1963,3,DZA,,,
21.939978,1963,4,DZA,,,
24.084648,1963,5,DZA,,,
29.527613,1963,6,DZA,,,
32.224308,1963,7,DZA,,,
31.84531,1963,8,DZA,,,
28.360342,1963,9,DZA,,,
22.138805,1963,10,DZA,,,
18.039766,1963,11,DZA,,,
14.713007,1963,12,DZA,,,
11.601919,1964,1,DZA,,,
15.455437,1964,2,DZA,,,
19.72111,1964,3,DZA,,,
20.8726,1964,4,DZA,,,
27.066418,1964,5,DZA,,,
30.782944,1964,6,DZA,,,
31.946802,1964,7,DZA,,,
31.319723,1964,8,DZA,,,
28.364178,1964,9,DZA,,,
22.782623,1964,10,DZA,,,
16.520042,1964,11,DZA,,,
12.594563,1964,12,DZA,,,
11.722494,1965,1,DZA,,,
13.883156,1965,2,DZA,,,
18.269403,1965,3,DZA,,,
20.095524,1965,4,DZA,,,
26.695415,1965,5,DZA,,,
30.241257,1965,6,DZA,,,
32.656822,1965,7,DZA,,,
30.949148,1965,8,DZA,,,
27.749466,1965,9,DZA,,,
24.20469,1965,10,DZA,,,
17.67676,1965,11,DZA,,,
13.399254,1965,12,DZA,,,
14.386141,1966,1,DZA,,,
16.671535,1966,2,DZA,,,
16.660875,1966,3,DZA,,,
22.367697,1966,4,DZA,,,
25.768124,1966,5,DZA,,,
31.140512,1966,6,DZA,,,
32.29659,1966,7,DZA,,,
32.295097,1966,8,DZA,,,
28.3484,1966,9,DZA,,,
23.99435,1966,10,DZA,,,
16.338486,1966,11,DZA,,,
12.715352,1966,12,DZA,,,
11.372708,1967,1,DZA,,,
14.764392,1967,2,DZA,,,
17.934116,1967,3,DZA,,,
21.680277,1967,4,DZA,,,
26.872814,1967,5,DZA,,,
29.45245,1967,6,DZA,,,
32.405754,1967,7,DZA,,,
31.63795,1967,8,DZA,,,
28.65437,1967,9,DZA,,,
23.549147,1967,10,DZA,,,
17.670574,1967,11,DZA,,,
10.955438,1967,12,DZA,,,
10.944883,1968,1,DZA,,,
15.456396,1968,2,DZA,,,
17.942965,1968,3,DZA,,,
22.53646,1968,4,DZA,,,
26.24115,1968,5,DZA,,,
29.724094,1968,6,DZA,,,
32.336994,1968,7,DZA,,,
31.894352,1968,8,DZA,,,
28.867163,1968,9,DZA,,,
22.94371,1968,10,DZA,,,
18.04179,1968,11,DZA,,,
13.41951,1968,12,DZA,,,
13.338167,1969,1,DZA,,,
16.394882,1969,2,DZA,,,
20.02953,1969,3,DZA,,,
20.410341,1969,4,DZA,,,
26.521643,1969,5,DZA,,,
30.011728,1969,6,DZA,,,
30.956717,1969,7,DZA,,,
31.245523,1969,8,DZA,,,
28.479212,1969,9,DZA,,,
22.715778,1969,10,DZA,,,
18.123987,1969,11,DZA,,,
12.065458,1969,12,DZA,,,
14.202772,1970,1,DZA,,,
15.48774,1970,2,DZA,,,
17.516312,1970,3,DZA,,,
21.857782,1970,4,DZA,,,
25.618656,1970,5,DZA,,,
30.96514,1970,6,DZA,,,
32.288914,1970,7,DZA,,,
32.20128,1970,8,DZA,,,
28.56066,1970,9,DZA,,,
22.849787,1970,10,DZA,,,
17.403625,1970,11,DZA,,,
13.110555,1970,12,DZA,,,
12.417271,1971,1,DZA,,,
14.283795,1971,2,DZA,,,
17.5097,1971,3,DZA,,,
22.114925,1971,4,DZA,,,
25.251173,1971,5,DZA,,,
29.9629,1971,6,DZA,,,
31.828146,1971,7,DZA,,,
31.897974,1971,8,DZA,,,
28.196695,1971,9,DZA,,,
22.074734,1971,10,DZA,,,
15.994456,1971,11,DZA,,,
13.239446,1971,12,DZA,,,
11.866205,1972,1,DZA,,,
14.981024,1972,2,DZA,,,
17.453838,1972,3,DZA,,,
20.815672,1972,4,DZA,,,
24.385181,1972,5,DZA,,,
29.718655,1972,6,DZA,,,
32.354797,1972,7,DZA,,,
31.165247,1972,8,DZA,,,
28.442005,1972,9,DZA,,,
23.413006,1972,10,DZA,,,
17.757036,1972,11,DZA,,,
12.384968,1972,12,DZA,,,
11.090192,1973,1,DZA,,,
13.035075,1973,2,DZA,,,
16.290726,1973,3,DZA,,,
21.620256,1973,4,DZA,,,
28.143925,1973,5,DZA,,,
30.785929,1973,6,DZA,,,
32.610767,1973,7,DZA,,,
31.708954,1973,8,DZA,,,
28.956823,1973,9,DZA,,,
22.945736,1973,10,DZA,,,
17.192965,1973,11,DZA,,,
11.948187,1973,12,DZA,,,
12.065458,1974,1,DZA,,,
13.386887,1974,2,DZA,,,
17.27985,1974,3,DZA,,,
20.1242,1974,4,DZA,,,
27.078678,1974,5,DZA,,,
30.481876,1974,6,DZA,,,
31.195736,1974,7,DZA,,,
31.174414,1974,8,DZA,,,
28.435074,1974,9,DZA,,,
21.45192,1974,10,DZA,,,
16.374308,1974,11,DZA,,,
12.237101,1974,12,DZA,,,
11.468123,1975,1,DZA,,,
13.865885,1975,2,DZA,,,
16.830917,1975,3,DZA,,,
21.700853,1975,4,DZA,,,
25.149893,1975,5,DZA,,,
30.113964,1975,6,DZA,,,
32.25245,1975,7,DZA,,,
31.782303,1975,8,DZA,,,
27.621216,1975,9,DZA,,,
22.914179,1975,10,DZA,,,
15.713114,1975,11,DZA,,,
13.880064,1975,12,DZA,,,
10.729637,1976,1,DZA,,,
12.985927,1976,2,DZA,,,
15.463221,1976,3,DZA,,,
20.429745,1976,4,DZA,,,
25.461514,1976,5,DZA,,,
29.93401,1976,6,DZA,,,
32.181343,1976,7,DZA,,,
31.385181,1976,8,DZA,,,
28.174414,1976,9,DZA,,,
22.656929,1976,10,DZA,,,
15.843603,1976,11,DZA,,,
13.818657,1976,12,DZA,,,
13.355543,1977,1,DZA,,,
16.05757,1977,2,DZA,,,
18.696375,1977,3,DZA,,,
22.907356,1977,4,DZA,,,
26.05437,1977,5,DZA,,,
30.334223,1977,6,DZA,,,
32.408745,1977,7,DZA,,,
31.027933,1977,8,DZA,,,
28.016312,1977,9,DZA,,,
23.207249,1977,10,DZA,,,
17.198507,1977,11,DZA,,,
13.875479,1977,12,DZA,,,
12.66887,1978,1,DZA,,,
16.933369,1978,2,DZA,,,
18.464178,1978,3,DZA,,,
21.364073,1978,4,DZA,,,
26.162151,1978,5,DZA,,,
30.076757,1978,6,DZA,,,
31.9758,1978,7,DZA,,,
31.513327,1978,8,DZA,,,
27.914606,1978,9,DZA,,,
22.13742,1978,10,DZA,,,
16.796375,1978,11,DZA,,,
14.976866,1978,12,DZA,,,
15.5987215,1979,1,DZA,,,
15,1979,2,DZA,,,
18.459381,1979,3,DZA,,,
20.848293,1979,4,DZA,,,
26.121536,1979,5,DZA,,,
31.073986,1979,6,DZA,,,
32.62484,1979,7,DZA,,,
32.347866,1979,8,DZA,,,
28.827291,1979,9,DZA,,,
24.150532,1979,10,DZA,,,
16.28966,1979,11,DZA,,,
13.053305,1979,12,DZA,,,
12.925586,1980,1,DZA,,,
15.545735,1980,2,DZA,,,
17.903198,1980,3,DZA,,,
22.41823,1980,4,DZA,,,
25.705225,1980,5,DZA,,,
31.181131,1980,6,DZA,,,
31.857569,1980,7,DZA,,,
32.235607,1980,8,DZA,,,
28.913858,1980,9,DZA,,,
23.10192,1980,10,DZA,,,
17.912685,1980,11,DZA,,,
11.190191,1980,12,DZA,,,
10.147974,1981,1,DZA,,,
14.016525,1981,2,DZA,,,
19.860981,1981,3,DZA,,,
23.003092,1981,4,DZA,,,
26.784967,1981,5,DZA,,,
31.025372,1981,6,DZA,,,
31.778677,1981,7,DZA,,,
31.239872,1981,8,DZA,,,
28.902878,1981,9,DZA,,,
24.33145,1981,10,DZA,,,
17.027079,1981,11,DZA,,,
14.586034,1981,12,DZA,,,
12.655437,1982,1,DZA,,,
14.429851,1982,2,DZA,,,
18.21951,1982,3,DZA,,,
22.458529,1982,4,DZA,,,
26.17921,1982,5,DZA,,,
32.33529,1982,6,DZA,,,
34.127827,1982,7,DZA,,,
31.94776,1982,8,DZA,,,
29.154263,1982,9,DZA,,,
23.316204,1982,10,DZA,,,
16.471855,1982,11,DZA,,,
11.635287,1982,12,DZA,,,
10.739126,1983,1,DZA,,,
14.656183,1983,2,DZA,,,
17.954584,1983,3,DZA,,,
22.973026,1983,4,DZA,,,
27.295202,1983,5,DZA,,,
31.368017,1983,6,DZA,,,
33.16642,1983,7,DZA,,,
32.094353,1983,8,DZA,,,
29.114712,1983,9,DZA,,,
23.085714,1983,10,DZA,,,
19.125374,1983,11,DZA,,,
13.211408,1983,12,DZA,,,
11.670789,1984,1,DZA,,,
13.629744,1984,2,DZA,,,
17.799786,1984,3,DZA,,,
22.965458,1984,4,DZA,,,
