Temperature,Year,Month,Country,,
-9.295454,1960,1,CHN,,
-3.5692081,1960,2,CHN,,
0.78878295,1960,3,CHN,,
6.4747314,1960,4,CHN,,
11.959262,1960,5,CHN,,
17.253836,1960,6,CHN,,
19.540104,1960,7,CHN,,
18.666838,1960,8,CHN,,
14.4346285,1960,9,CHN,,
6.8065248,1960,10,CHN,,
-1.0524194,1960,11,CHN,,
-7.1706495,1960,12,CHN,,
-8.986021,1961,1,CHN,,
-5.795503,1961,2,CHN,,
0.738783,1961,3,CHN,,
8.433016,1961,4,CHN,,
12.854521,1961,5,CHN,,
17.756012,1961,6,CHN,,
19.943329,1961,7,CHN,,
18.551197,1961,8,CHN,,
14.250513,1961,9,CHN,,
7.2076006,1961,10,CHN,,
0.0370479,1961,11,CHN,,
-6.892058,1961,12,CHN,,
-9.2411785,1962,1,CHN,,
-5.0617056,1962,2,CHN,,
-0.03902737,1962,3,CHN,,
6.9501953,1962,4,CHN,,
13.016935,1962,5,CHN,,
17.069918,1962,6,CHN,,
19.742546,1962,7,CHN,,
18.582233,1962,8,CHN,,
14.34785,1962,9,CHN,,
7.2385626,1962,10,CHN,,
-1.709042,1962,11,CHN,,
-6.27478,1962,12,CHN,,
-9.503421,1963,1,CHN,,
-5.3492913,1963,2,CHN,,
1.7959921,1963,3,CHN,,
6.852468,1963,4,CHN,,
13.45782,1963,5,CHN,,
17.118011,1963,6,CHN,,
19.488369,1963,7,CHN,,
18.927689,1963,8,CHN,,
14.361461,1963,9,CHN,,
7.113392,1963,10,CHN,,
-0.022360703,1963,11,CHN,,
-6.472556,1963,12,CHN,,
-8.54455,1964,1,CHN,,
-8.907527,1964,2,CHN,,
0.72150534,1964,3,CHN,,
8.392034,1964,4,CHN,,
12.835582,1964,5,CHN,,
16.587708,1964,6,CHN,,
19.215494,1964,7,CHN,,
18.659702,1964,8,CHN,,
13.890592,1964,9,CHN,,
7.343084,1964,10,CHN,,
-0.26502934,1964,11,CHN,,
-6.793597,1964,12,CHN,,
-7.8120966,1965,1,CHN,,
-6.0381722,1965,2,CHN,,
-0.37495112,1965,3,CHN,,
7.1211386,1965,4,CHN,,
13.21168,1965,5,CHN,,
17.14956,1965,6,CHN,,
19.23563,1965,7,CHN,,
17.878544,1965,8,CHN,,
13.600904,1965,9,CHN,,
7.832967,1965,10,CHN,,
-0.31234115,1965,11,CHN,,
-7.843108,1965,12,CHN,,
-8.1748295,1966,1,CHN,,
-4.4057918,1966,2,CHN,,
0.7857283,1966,3,CHN,,
6.759238,1966,4,CHN,,
12.708553,1966,5,CHN,,
17.10584,1966,6,CHN,,
19.256037,1966,7,CHN,,
19.009531,1966,8,CHN,,
13.51322,1966,9,CHN,,
7.208113,1966,10,CHN,,
-1.230523,1966,11,CHN,,
-8.197042,1966,12,CHN,,
-9.628446,1967,1,CHN,,
-6.780669,1967,2,CHN,,
0.2926442,1967,3,CHN,,
7.2779326,1967,4,CHN,,
13.910606,1967,5,CHN,,
